Start,End,Sleep quality,Time in bed,Wake up,Heart rate,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
4/4/2015 23:13,4/5/2015 7:31,95%,8:17,:),,0,0,1,1,0,0
4/6/2015 21:22,4/7/2015 6:15,79%,8:53,:),55,0,0,1,1,0,0
4/7/2015 21:17,4/8/2015 6:18,100%,9:01,:),51,0,0,0,1,0,0
4/8/2015 22:09,4/9/2015 5:02,81%,6:52,:),52,0,0,0,1,0,0
4/9/2015 21:56,4/10/2015 5:23,80%,7:27,:),,0,0,1,1,0,1
4/10/2015 23:51,4/11/2015 7:41,85%,7:50,:),,0,0,0,1,0,1
4/11/2015 23:16,4/12/2015 6:53,97%,7:36,:),52,0,0,1,1,0,0
4/12/2015 22:04,4/13/2015 5:41,84%,7:36,:),58,0,0,1,1,0,0
4/13/2015 22:19,4/14/2015 5:45,78%,7:25,:),57,0,0,0,1,0,1
4/15/2015 0:28,4/15/2015 7:30,81%,7:01,:),63,0,0,1,1,0,1
4/16/2015 23:20,4/17/2015 6:20,82%,6:59,:),58,0,0,1,1,0,0
4/17/2015 23:50,4/18/2015 7:22,59%,7:32,:),53,0,1,1,1,0,1
4/20/2015 22:37,4/21/2015 6:18,77%,7:40,:),58,0,0,1,1,0,0
4/22/2015 21:31,4/23/2015 5:11,77%,7:39,:),67,0,1,1,1,0,0
4/23/2015 21:46,4/24/2015 5:13,87%,7:26,:),,0,1,1,1,0,1
4/25/2015 22:53,4/26/2015 7:53,100%,9:00,:),61,0,0,1,1,0,0
4/26/2015 21:51,4/27/2015 4:59,70%,7:07,:),64,0,0,1,1,1,0
4/27/2015 21:35,4/28/2015 4:57,77%,7:21,:),59,0,0,0,1,0,1
4/28/2015 21:41,4/29/2015 5:00,53%,7:18,:),59,0,0,1,0,0,1
4/30/2015 23:13,5/1/2015 6:06,77%,6:52,:),60,0,1,1,1,0,0
5/1/2015 22:20,5/2/2015 6:07,65%,7:46,:),91,0,0,1,0,0,1
5/5/2015 22:23,5/6/2015 6:18,83%,7:54,:),62,0,0,1,1,0,1
5/6/2015 21:47,5/7/2015 5:21,50%,7:34,:),59,0,0,1,1,1,1
5/7/2015 21:22,5/8/2015 4:57,89%,7:34,:),54,0,0,0,1,0,1
5/9/2015 1:58,5/9/2015 7:01,61%,5:03,:),75,0,1,1,1,0,1
5/10/2015 22:11,5/11/2015 5:00,66%,6:48,:),50,0,0,1,1,0,1
