,Start,End,Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
63,2015-03-22 23:07:00,2015-03-23 07:30:00,0.75,493.20000000000005,0,0,1,1,0,0
64,2015-03-24 22:11:00,2015-03-25 06:19:00,0.84,484.20000000000005,0,0,1,0,0,0
65,2015-03-25 22:00:00,2015-03-26 05:22:00,0.76,433.2,0,0,1,1,0,1
66,2015-03-26 21:23:00,2015-03-27 05:26:00,0.92,481.79999999999995,0,0,0,1,0,1
67,2015-03-30 22:30:00,2015-03-31 05:28:00,0.82,394.20000000000005,0,0,1,0,0,1
68,2015-03-31 22:17:00,2015-04-01 05:50:00,0.84,439.20000000000005,0,0,1,1,0,1
69,2015-04-04 23:13:00,2015-04-05 07:31:00,0.95,490.2,0,0,1,1,0,0
70,2015-04-06 21:22:00,2015-04-07 06:15:00,0.79,511.79999999999995,0,0,1,1,0,0
71,2015-04-07 21:17:00,2015-04-08 06:18:00,1.0,540.6,0,0,0,1,0,0
72,2015-04-08 22:09:00,2015-04-09 05:02:00,0.81,391.2,0,0,0,1,0,0
73,2015-04-09 21:56:00,2015-04-10 05:23:00,0.8,436.2,0,0,1,1,0,1
74,2015-04-10 23:51:00,2015-04-11 07:41:00,0.85,450.0,0,0,0,1,0,1
75,2015-04-11 23:16:00,2015-04-12 06:53:00,0.97,441.6,0,0,1,1,0,0
76,2015-04-12 22:04:00,2015-04-13 05:41:00,0.84,441.6,0,0,1,1,0,0
77,2015-04-13 22:19:00,2015-04-14 05:45:00,0.78,435.0,0,0,0,1,0,1
78,2015-04-15 00:28:00,2015-04-15 07:30:00,0.81,420.59999999999997,0,0,1,1,0,1
79,2015-04-16 23:20:00,2015-04-17 06:20:00,0.82,395.4,0,0,1,1,0,0
80,2015-04-17 23:50:00,2015-04-18 07:22:00,0.59,439.20000000000005,0,1,1,1,0,1
81,2015-04-20 22:37:00,2015-04-21 06:18:00,0.77,444.0,0,0,1,1,0,0
82,2015-04-22 21:31:00,2015-04-23 05:11:00,0.77,443.4,0,1,1,1,0,0
83,2015-04-23 21:46:00,2015-04-24 05:13:00,0.87,435.59999999999997,0,1,1,1,0,1
84,2015-04-25 22:53:00,2015-04-26 07:53:00,1.0,540.0,0,0,1,1,0,0
85,2015-04-26 21:51:00,2015-04-27 04:59:00,0.7,424.20000000000005,0,0,1,1,1,0
86,2015-04-27 21:35:00,2015-04-28 04:57:00,0.77,432.6,0,0,0,1,0,1
87,2015-04-28 21:41:00,2015-04-29 05:00:00,0.53,430.79999999999995,0,0,1,0,0,1
88,2015-04-30 23:13:00,2015-05-01 06:06:00,0.77,391.2,0,1,1,1,0,0
89,2015-05-01 22:20:00,2015-05-02 06:07:00,0.65,447.6,0,0,1,0,0,1
90,2015-05-05 22:23:00,2015-05-06 06:18:00,0.83,452.4,0,0,1,1,0,1
91,2015-05-06 21:47:00,2015-05-07 05:21:00,0.5,440.4,0,0,1,1,1,1
92,2015-05-07 21:22:00,2015-05-08 04:57:00,0.89,440.4,0,0,0,1,0,1
93,2015-05-09 01:58:00,2015-05-09 07:01:00,0.61,301.8,0,1,1,1,0,1
94,2015-05-10 22:11:00,2015-05-11 05:00:00,0.66,388.8,0,0,1,1,0,1
95,2015-05-11 21:57:00,2015-05-12 05:00:00,0.75,421.8,0,0,0,1,0,1
96,2015-05-12 22:04:00,2015-05-13 04:52:00,0.72,388.2,0,0,0,1,0,1
97,2015-05-14 22:49:00,2015-05-15 06:17:00,0.79,436.8,0,0,1,1,0,0
98,2015-05-17 21:03:00,2015-05-18 07:49:00,0.93,627.6,0,1,0,1,0,0
99,2015-05-18 22:39:00,2015-05-19 06:20:00,0.91,444.6,0,0,0,0,0,0
100,2015-05-20 22:22:00,2015-05-21 05:25:00,0.59,421.2,0,0,0,1,0,1
101,2015-05-21 22:47:00,2015-05-22 05:25:00,0.74,382.8,0,0,1,1,0,1
102,2015-05-24 00:01:00,2015-05-24 07:35:00,0.73,439.8,0,0,1,0,0,1
103,2015-05-24 22:58:00,2015-05-25 06:45:00,0.67,448.2,0,0,1,1,0,0
104,2015-05-25 22:05:00,2015-05-26 05:29:00,0.85,433.8,0,0,1,1,0,0
105,2015-05-26 22:18:00,2015-05-27 05:14:00,0.69,393.59999999999997,0,0,1,1,0,1
106,2015-05-28 23:10:00,2015-05-29 07:00:00,0.81,449.40000000000003,0,0,1,1,0,1
107,2015-05-31 23:16:00,2015-06-01 06:20:00,0.72,421.8,0,0,1,0,0,0
108,2015-06-01 22:20:00,2015-06-02 06:19:00,0.76,455.4,0,0,1,1,0,1
109,2015-06-03 22:19:00,2015-06-04 05:20:00,0.78,420.0,0,0,1,1,0,0
110,2015-06-04 22:20:00,2015-06-05 03:45:00,0.7,315.0,0,0,1,1,0,1
111,2015-06-05 03:45:00,2015-06-05 05:41:00,0.23,93.0,0,0,0,0,0,0
112,2015-06-07 22:01:00,2015-06-08 05:40:00,0.75,443.4,0,0,1,0,0,0
113,2015-06-08 21:57:00,2015-06-09 05:16:00,0.69,431.40000000000003,0,0,1,1,0,1
114,2015-06-09 21:07:00,2015-06-10 05:01:00,0.83,452.4,0,0,1,1,0,1
115,2015-06-10 21:12:00,2015-06-11 06:17:00,0.92,542.4,0,1,0,1,0,1
116,2015-06-11 22:54:00,2015-06-12 06:19:00,0.74,435.0,0,0,1,0,0,1
117,2015-06-14 22:38:00,2015-06-15 06:12:00,0.81,440.4,0,0,1,1,0,0
118,2015-06-15 22:31:00,2015-06-16 06:20:00,0.88,448.8,0,0,1,1,0,1
119,2015-06-16 22:21:00,2015-06-17 06:20:00,0.69,455.4,0,1,1,1,0,1
120,2015-06-17 21:28:00,2015-06-18 05:00:00,0.63,438.59999999999997,0,0,1,0,0,0
121,2015-06-18 22:26:00,2015-06-19 04:46:00,0.71,372.0,0,0,1,0,0,1
122,2015-06-22 21:54:00,2015-06-23 05:07:00,0.78,427.8,0,0,1,0,0,1
123,2015-06-23 22:09:00,2015-06-24 04:57:00,0.76,388.8,0,0,1,1,0,1
124,2015-06-24 04:58:00,2015-06-24 05:45:00,0.1,27.6,0,0,0,0,0,0
125,2015-06-24 22:37:00,2015-06-25 06:20:00,0.82,445.79999999999995,0,1,1,0,0,1
