Sleep quality,Time in bed,Wake up,Heart rate,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total,Fell asleep
81,469,1,52,0,0,1,1,0,1,2310
72,423,1,76,0,0,1,0,0,0,2316
88,419,1,68,0,0,1,0,0,1,26
58,420,1,56,0,0,1,0,0,0,2144
79,492,1,51,0,0,1,0,0,1,2148
85,479,1,62,0,0,1,1,0,0,2201
80,482,1,52,0,0,1,0,0,0,2207
85,504,1,65,0,0,1,1,0,0,2349
100,486,1,55,0,0,1,1,0,0,2214
16,73,1,58,0,0,0,0,0,0,506
83,455,0,66,0,1,1,1,0,0,2236
78,373,1,65,0,0,1,1,0,1,2
92,535,1,56,0,0,1,1,0,0,2254
87,482,1,60,0,0,1,0,0,0,2218
69,469,1,62,0,0,1,1,0,0,2230
69,445,1,61,0,0,1,0,0,0,2254
75,452,1,54,0,0,1,1,0,0,2148
100,541,1,51,0,0,0,1,0,0,2117
77,459,1,67,0,1,1,1,0,0,2131
93,646,1,59,0,1,0,1,0,0,2103
78,420,1,64,0,0,1,1,0,0,2219
69,511,1,74,0,0,1,0,0,0,2138
83,450,1,52,0,0,1,1,1,0,2159
60,442,1,56,0,0,1,1,0,1,2257
72,493,1,62,0,0,1,1,0,0,2217
93,493,1,67,0,1,0,1,0,1,2157
