Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total,Fell asleep
56,628,7901,0,1,0,0,0,2204
49,467,4015,0,1,0,0,1,2233
40,489,3698,0,1,0,0,1,2210
61,512,827,0,1,0,0,0,2328
49,479,4399,0,1,0,0,1,2221
70,490,7370,0,0,1,0,1,2211
54,410,4374,0,1,0,0,1,2308
65,473,9243,0,0,1,0,1,2226
70,596,908,0,1,0,0,0,2226
54,416,8954,0,1,1,0,0,2329
62,458,9726,0,1,1,0,1,2224
54,468,8612,0,0,1,0,1,2233
71,482,10375,0,1,1,0,1,2318
56,440,7385,0,1,1,0,1,2358
73,464,5825,0,0,1,0,0,2315
88,519,6536,0,0,1,0,1,2200
89,510,5628,0,1,1,0,0,2309
3,16,0,1,0,0,0,0,2117
72,404,0,0,1,1,0,0,2212
83,432,0,0,1,1,0,0,34
78,438,0,0,1,0,1,0,2134
81,559,0,1,1,1,0,0,2059
78,488,0,0,0,1,0,0,2212
100,551,0,0,0,1,0,1,2101
88,433,0,0,1,1,0,1,2148
64,433,0,0,1,1,0,0,2155
75,469,0,0,0,1,0,0,2230
74,409,0,0,1,0,0,0,110
84,487,0,0,1,0,0,0,2211
81,412,0,0,0,1,0,0,2209
89,454,0,0,0,1,0,1,2122
91,461,0,0,0,0,0,0,2239
23,115,0,0,0,0,0,0,345
88,468,0,0,1,1,0,1,2231
77,409,0,0,1,1,0,1,141
78,439,0,0,1,1,0,1,2135
90,492,0,0,1,1,0,1,2233
67,468,0,0,1,0,0,0,2157
81,521,0,0,1,1,0,1,2134
82,482,0,0,0,1,0,0,2257
77,460,0,0,1,1,0,1,32
88,461,0,0,1,1,0,1,2159
72,443,0,0,1,1,0,0,2257
58,385,0,0,1,1,0,1,120
84,437,0,0,1,1,0,1,2303
75,411,0,0,1,1,0,0,2219
79,448,0,1,1,1,0,1,2217
100,517,0,0,1,1,0,1,2107
80,443,0,0,1,0,0,1,2206
79,447,0,0,1,1,0,0,2233
66,481,0,0,1,0,0,1,2218
74,515,0,1,1,0,0,1,2217
69,508,0,0,1,0,0,0,2312
90,496,0,0,0,1,0,1,2201
98,491,0,0,0,1,0,0,2320
90,519,0,0,1,0,0,1,2225
89,462,0,0,1,1,0,1,2247
85,453,0,0,1,1,0,1,2218
74,452,0,0,1,1,0,1,2248
87,480,0,1,1,1,0,1,2307
83,556,0,0,1,0,0,1,2053
72,480,0,1,1,0,0,0,2207
87,507,0,0,1,0,1,1,2207
83,435,0,0,1,0,0,1,2234
77,428,0,1,1,0,0,1,2257
35,489,2668,0,1,0,0,1,2213
46,457,3887,0,1,0,0,1,2349
58,451,359,0,1,1,0,1,2253
55,464,6963,0,0,1,0,1,2222
59,469,21870,0,1,1,0,1,2238
70,456,5971,0,1,1,0,0,2337
80,481,847,0,1,1,0,0,2300
80,493,10585,0,0,1,0,1,2126
73,445,10248,0,1,1,0,1,2244
66,508,8587,0,0,1,0,1,2153
56,465,10106,0,0,1,0,1,2228
52,361,10506,1,1,1,0,0,13
70,455,6608,0,0,1,0,1,2216
