Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total,Fell asleep
71,451,4904,0,0,1,0,0,2140
89,481,3763,0,1,1,0,0,2112
81,458,6964,0,1,1,0,0,2256
74,500,4114,0,0,1,0,0,2157
74,480,5701,1,1,1,0,0,2307
87,489,3669,0,0,1,0,0,2147
73,427,2562,0,1,1,0,0,2214
64,502,4336,0,0,1,0,0,2203
74,430,6003,0,1,1,0,0,2151
85,545,3744,0,1,1,0,0,2113
81,462,6212,0,0,1,0,1,2120
79,421,1913,0,1,1,0,0,2320
67,436,4153,0,0,0,0,0,2239
83,492,889,0,1,1,0,0,2352
59,456,6284,0,1,1,0,1,2243
74,463,2668,0,1,1,0,0,2339
81,498,4310,0,1,0,0,0,2151
18,100,0,0,0,0,0,0,604
83,490,3403,0,0,0,0,0,2208
86,521,8946,0,0,0,0,0,2152
74,455,4260,0,0,0,0,0,2225
81,494,3919,0,0,0,0,0,2230
78,403,5342,0,0,0,0,0,110
68,408,135,0,0,0,0,0,106
74,455,2899,0,0,0,0,0,2229
81,447,9185,0,0,0,0,0,2201
35,496,7581,0,0,0,0,0,2036
81,441,4835,0,0,0,0,0,46
56,447,12094,0,0,0,0,0,2239
69,464,3640,0,0,0,0,0,2219
80,505,388,0,0,0,0,0,2258
75,469,3709,0,0,0,0,0,2208
79,530,3789,0,0,0,0,0,2339
80,454,430,0,0,0,0,0,2233
100,545,5116,0,0,0,0,0,2314
77,541,0,0,0,0,0,0,2054
82,507,218,0,0,0,0,0,2204
66,404,2334,0,0,0,0,0,2315
77,464,5277,0,0,0,0,0,2218
65,323,4810,0,0,0,0,0,220
72,412,2528,0,0,0,0,0,2309
80,553,6555,0,0,0,0,0,2136
82,452,10521,0,1,1,0,1,2246
74,452,12258,0,1,1,0,1,2325
71,432,4540,0,0,1,0,0,2158
75,456,7665,0,1,1,0,0,2253
68,400,4076,0,1,1,0,0,2346
81,475,6388,0,1,1,0,1,2222
97,501,4670,0,1,1,0,0,2201
72,432,7155,0,0,1,0,1,2202
76,441,7810,0,1,1,0,1,2220
95,594,4595,0,0,1,0,0,2122
75,449,8646,0,1,1,0,1,0
65,340,771,0,1,0,0,0,52
70,439,11355,0,0,1,0,1,2221
74,551,1318,0,0,1,0,0,2142
83,464,1510,0,1,1,0,0,6
95,527,4280,0,1,1,0,1,2152
73,419,4068,0,1,1,0,1,42
73,486,3298,0,0,1,0,0,4
73,472,5606,0,1,1,0,1,104
90,546,8858,0,0,1,0,1,2229
69,485,1867,0,1,1,0,0,2205
72,457,4898,0,0,0,0,0,2232
59,420,7064,0,0,0,0,0,2337
73,461,10604,0,0,0,0,0,2237
89,432,1018,0,0,0,0,0,2320
77,414,893,0,0,0,0,0,2315
59,390,4488,0,0,0,0,0,2322
89,544,7268,0,0,0,0,0,2233
79,479,5095,0,0,0,0,0,2202
55,408,6075,0,0,0,0,0,2343
79,479,4400,0,0,0,0,0,2206
72,464,5242,0,0,0,0,0,2223
79,462,3951,0,0,0,0,0,2227
88,551,356,0,0,0,0,0,2303
79,440,71,0,0,0,0,0,25
59,301,5364,0,0,0,0,0,150
78,454,1430,0,0,0,0,0,2226
74,536,5051,0,0,0,0,0,2125
89,482,787,0,0,0,0,0,2323
76,438,6094,0,0,0,0,0,2311
68,451,9426,0,0,0,0,0,2226
63,475,27,0,0,0,0,0,2210
73,442,0,0,0,0,0,0,2236
63,425,3400,0,0,0,0,0,2310
97,635,373,0,0,0,0,0,2119
75,470,5168,0,0,0,0,0,6
75,608,61,0,0,0,0,0,2200
76,437,475,0,0,0,0,0,2231
86,526,2101,0,0,0,0,0,2313
71,458,6224,0,0,0,0,0,2131
71,471,5752,0,0,0,0,0,2209
59,482,9516,0,0,0,0,0,2246
71,601,4454,0,0,0,0,0,2221
73,498,2867,0,0,0,0,0,2141
72,403,2149,0,0,0,0,0,2317
93,438,68,0,0,0,0,0,2241
78,480,4514,0,0,1,0,0,2145
69,435,9338,0,1,1,0,1,2332
96,526,2335,0,0,1,0,0,2149
74,449,7521,0,1,1,0,1,2241
21,96,12892,0,0,0,0,0,500
12,93,6003,0,0,0,0,0,502
81,439,5862,0,1,1,0,0,2215
90,481,7000,0,1,1,0,1,2213
74,496,11475,0,1,1,0,1,2200
77,502,3958,0,1,1,0,0,2157
82,508,3884,0,0,1,0,1,2209
86,439,6964,0,1,1,0,1,2226
67,426,6705,0,1,0,0,0,2314
41,460,10542,0,1,1,0,1,2254
7,34,804,0,0,0,0,0,735
90,531,6043,0,0,0,0,0,2124
77,480,5510,0,0,0,0,0,2232
69,340,3739,0,0,0,0,0,212
84,519,5157,0,0,0,0,0,2200
84,471,3901,0,0,0,0,0,2157
38,413,5221,0,0,0,0,0,2329
67,438,7940,0,0,0,0,0,2232
83,514,5029,0,0,0,0,0,2156
75,440,7101,0,0,0,0,0,2244
76,433,4906,0,0,0,0,0,2124
71,458,5314,0,0,0,0,0,2232
74,489,7129,0,0,0,0,0,2151
91,540,1097,0,0,0,0,0,2251
86,453,6494,0,0,0,0,0,2226
80,434,6417,0,0,0,0,0,2254
83,472,0,0,0,0,0,0,2233
70,469,96,0,0,0,0,0,2216
68,489,7339,0,0,0,0,0,2147
67,437,7253,0,0,0,0,0,2344
91,535,2291,0,0,0,0,0,2252
17,84,3763,0,0,0,0,0,514
93,482,7787,0,0,1,0,1,2239
90,569,10344,0,1,1,0,0,2314
64,437,8076,0,1,1,1,0,2213
57,397,173,0,0,1,0,0,2223
78,518,5056,0,0,1,0,0,2307
21,102,4200,0,0,0,0,0,458
83,478,3301,0,1,1,0,0,2233
76,463,7419,0,0,1,0,0,2243
77,427,4275,0,0,1,0,0,40
81,454,2499,0,1,0,0,0,2216
80,473,1572,0,1,1,0,0,2239
88,461,3695,0,1,1,0,0,2335
78,502,7562,0,0,1,0,1,2119
92,483,1898,0,0,1,0,0,2158
6,27,0,0,0,0,0,0,603
75,471,8213,0,0,0,0,0,2139
75,479,3042,0,1,0,0,0,2231
83,440,11070,0,1,1,0,1,25
73,456,1865,0,0,1,0,0,2241
73,484,4565,0,0,1,0,1,2219
67,467,10427,0,0,0,0,0,7
69,508,7778,0,0,0,0,0,2153
65,506,5504,0,0,0,0,0,2139
78,477,5579,0,0,0,0,0,2313
87,463,5451,0,0,0,0,0,2204
82,557,3921,0,0,0,0,0,2203
74,457,3332,0,0,0,0,0,2301
59,437,1333,0,0,0,0,0,2249
91,513,4880,0,0,0,0,0,18
66,407,1706,0,0,0,0,0,2301
96,524,3729,0,0,0,0,0,2141
80,456,5912,0,0,0,0,0,2223
79,494,3240,0,0,0,0,0,2222
60,360,4074,0,0,0,0,0,1
89,471,5899,0,0,0,0,0,5
65,485,4119,0,0,0,0,0,2155
85,567,27,0,0,0,0,0,2123
80,453,5735,0,0,0,0,0,2256
70,509,6015,0,0,0,0,0,2120
68,439,3179,0,0,0,0,0,2256
80,513,5184,0,0,0,0,0,2135
81,505,2544,0,0,0,0,0,2130
90,481,4529,0,0,0,0,0,2222
79,503,107,0,0,0,0,0,2137
8,36,166,0,0,0,0,0,832
